,fire_size_class,Temp_pre_30,Temp_pre_15,Temp_pre_7,Temp_cont,Wind_pre_30,Wind_pre_15,Wind_pre_7,Wind_cont,Hum_pre_30,Hum_pre_15,Hum_pre_7,Hum_cont,Prec_pre_30,Prec_pre_15,Prec_pre_7,Prec_cont
3743,B,1,1,1,2,5,5,4,6,4,6,6,3,5,5,6,3
3744,B,6,6,5,5,2,1,1,0,0,0,1,2,3,5,6,1
3745,B,2,1,2,0,1,0,1,1,6,5,6,6,5,5,5,5
3746,B,2,2,1,0,1,2,1,1,5,6,3,4,4,4,3,2
3747,B,0,0,0,0,5,6,6,6,6,6,5,1,2,4,1,2
3748,B,2,1,1,1,3,2,1,3,2,1,2,1,1,1,1,3
3749,C,2,1,1,4,3,2,1,3,1,1,3,2,2,3,1,2
3750,C,3,2,1,4,5,4,5,2,4,4,4,5,6,6,6,6
3751,C,1,1,2,3,6,4,5,2,3,2,1,3,5,4,4,5
3752,B,3,3,3,1,1,1,0,4,3,3,3,5,5,6,0,5
3753,B,1,0,0,0,4,3,2,4,3,4,2,1,3,4,3,1
3754,C,2,1,0,0,2,2,2,1,0,0,0,4,5,5,3,1
3755,B,1,1,2,2,1,1,3,2,4,3,4,2,4,4,5,4
3756,B,1,1,0,0,2,3,4,2,6,5,6,4,4,5,6,5
3757,B,6,6,6,6,2,1,2,2,4,4,4,5,0,0,0,6
3758,B,5,5,5,6,5,5,5,4,0,0,0,0,3,1,2,1
3759,B,2,3,3,4,3,1,2,2,3,5,5,5,5,5,5,3
3760,C,2,2,3,2,4,4,5,4,2,2,2,2,5,4,5,1
3761,C,3,2,1,0,1,2,4,2,5,5,3,6,1,2,2,0
3762,B,3,2,1,0,3,4,5,4,2,3,1,1,4,4,4,2
3763,B,3,4,4,4,0,0,0,1,4,5,5,5,5,4,4,2
3764,D,2,2,2,3,3,3,3,0,2,1,2,6,4,3,4,6
3765,B,0,1,1,1,1,3,1,3,2,3,3,1,3,3,0,1
3766,B,5,6,6,6,1,0,1,2,5,5,5,6,1,3,5,3
